,code,name,industry1,concept,price_change_20
234,600939,重庆建工,房屋建设,,-2.14
235,603815,交建股份,基础建设,,12.69
236,000159,国际实业,专业工程,,15.44
237,603637,镇海股份,专业工程,,8.85
238,300083,创世纪,机床工具,"工业母机,无线充电,国产操作系统,智能穿戴",26.43
239,002520,日发精机,机床工具,,16.42
240,300179,四方达,磨具磨料,,10.57
241,603339,四方科技,制冷空调设备,,5.62
242,600202,哈空调,制冷空调设备,,5.22
243,688648,中邮科技,其他通用设备,,16.11
244,605100,华丰股份,金属制品,,19.17
245,603308,应流股份,金属制品,,15.91
246,600843,上工申贝,纺织服装设备,,28.97
247,301053,远信工业,纺织服装设备,,20.64
248,001226,拓山重工,工程机械,,28.17
249,000528,柳工,工程机械,,22.9
250,300879,大叶股份,农用机械,,14.98
251,002890,弘宇股份,农用机械,,10.36
252,001288,运机集团,能源及重型设备,"减速器,中俄贸易概念",27.15
253,002526,山东矿机,能源及重型设备,"手机游戏,网络游戏",19.05
254,871553,凯腾精工,印刷包装机械,,20.61
255,300521,爱司凯,印刷包装机械,,11.65
256,600894,广日股份,楼宇设备,,14.84
257,002774,快意电梯,楼宇设备,,6.87
258,300137,先河环保,环保设备,碳交易,22.36
259,301288,清研环境,环保设备,,18.07
260,600580,卧龙电驱,电机,"光伏建筑一体化,安防,分拆上市意愿",20.76
261,603050,科林电气,电气自控设备,"虚拟电厂,举牌,充电桩",35.27
262,300283,温州宏丰,输变电设备,,9.74
263,600192,长城电工,输变电设备,,8.82
264,600577,精达股份,线缆部件及其他,"可控核聚变,北交所概念",17.39
265,002953,日丰股份,线缆部件及其他,,7.64
266,605111,新洁能,分立器件,,4.12
267,300831,派瑞股份,分立器件,,-1.37
268,002119,康强电子,半导体材料,,12.41
269,688661,和林微纳,半导体材料,,5.13
270,002552,宝鼎科技,印制电路板,,8.71
271,600237,铜峰电子,被动元件,,4.43
272,002199,东晶电子,被动元件,,0.96
273,003019,宸展光电,面板,,15.64
274,603679,华体科技,LED,,13.43
275,002273,水晶光电,光学元件,"AI手机,智能穿戴",17.76
276,605588,冠石科技,光学元件,OLED,17.12
277,601238,广汽集团,乘用车,英伟达概念,8.74
278,000550,江铃汽车,商用载货车,,6.1
279,600006,东风汽车,商用载货车,,4.2
280,600066,宇通客车,商用载客车,世界杯,14.08
281,688187,时代电气,轨交设备,柔性直流输电,4.24
282,688367,工大高科,轨交设备,,1.69
283,600690,海尔智家,冰洗,,7.29
284,600983,惠而浦,冰洗,,6.6
285,000921,海信家电,空调,空气能热泵,8.61
286,000333,美的集团,空调,,0.63
287,000016,深康佳A,彩电,,-4.78
