,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
188,000682,东方电子,11.48,18.42,2.89,6.95,3.83,电气自控设备,语音技术,-2.82,2.34
189,837046,亿能电力,23.27,149.19,-1.59,-2.9,-13.53,输变电设备,,-2.54,1.67
190,002606,大连电瓷,16.33,23.99,2.31,4.59,-0.99,线缆部件及其他,,-0.5,3.0
191,603606,东方电缆,18.1,40.87,-2.75,-7.6,2.26,线缆部件及其他,,-1.34,2.34
192,300046,台基股份,18.27,128.63,4.82,7.58,19.39,分立器件,柔性直流输电,-1.21,4.33
193,300623,捷捷微电,20.14,81.84,-1.11,-0.28,-1.27,分立器件,,2.94,2.6700000000000004
194,837821,则成电子,18.52,310.69,6.98,-19.28,17.08,印制电路板,"PCB概念,消费电子概念",18.19,3.33
195,605258,协和电子,13.09,149.55,-5.52,-2.63,-10.87,印制电路板,,0.9,1.67
196,300408,三环集团,6.27,43.81,-0.84,-2.64,4.72,被动元件,,-1.09,4.0
197,300319,麦捷科技,36.09,55.47,-2.41,-8.62,-9.92,被动元件,,1.14,3.33
198,002273,水晶光电,8.87,66.46,-0.62,0.0,-9.11,光学元件,AI手机,2.9,5.0
199,601777,力帆科技,47.38,69.12,-6.28,-8.73,-0.24,乘用车,,-0.24,4.01
200,002594,比亚迪,12.93,30.81,-1.35,-8.03,-10.75,乘用车,,2.28,3.33
201,600006,东风汽车,31.27,30.38,-8.63,-5.04,-1.02,商用载货车,,-0.44,3.01
202,000957,中通客车,34.21,62.65,-11.15,-3.13,-0.28,商用载客车,,0.74,2.33
203,688187,时代电气,9.13,26.03,-3.49,-1.09,-0.37,轨交设备,,0.06,2.66
204,603766,隆鑫通用,22.92,106.06,-6.62,7.08,-3.2,其他交运设备,"室外经济,无人机",0.16,2.0
205,002668,TCL智家,12.54,25.96,1.77,9.64,1.21,冰洗,,0.11,3.67
206,000651,格力电器,13.59,12.87,-0.86,1.18,3.68,空调,超级品牌,-0.44,4.5
207,000333,美的集团,9.6,51.21,-3.95,-3.72,-6.92,空调,,-0.75,3.0
208,300342,天银机电,39.26,37.0,-0.63,-1.45,8.26,其他白色家电,"军工信息化,太赫兹",-1.86,3.0
209,600962,国投中鲁,8.34,23.52,-1.24,-0.85,6.67,软饮料,,2.32,3.33
210,600530,ST交昂,38.63,37.82,-6.71,6.45,2.72,其他食品,,-2.22,3.5
211,002083,孚日股份,11.32,14.86,1.1,5.25,0.66,棉纺,"抗病毒面料,托育服务",-0.22,5.0
212,002003,伟星股份,6.71,40.1,-1.93,-2.98,-11.95,辅料,,-2.42,3.0
213,300577,开润股份,8.26,141.41,-0.56,-2.1,-15.22,其他纺织,,-1.17,3.0
214,603557,ST起步,2.13,48.72,0.53,-1.05,7.39,鞋帽及其他,网红经济,1.07,4.5
215,300901,中胤时尚,22.92,41.47,-6.48,-1.24,4.39,鞋帽及其他,"多模态AI,英伟达概念,虚拟数字人",0.32,3.0
216,301061,匠心家居,18.72,71.91,0.57,7.1,-1.59,家具,同花顺出海50,-3.98,3.0
217,301004,嘉益股份,10.03,23.84,0.64,3.45,-6.16,其他家用轻工,C2M概念,-0.67,5.0
218,600216,浙江医药,63.7,85.39,6.44,27.08,42.02,原料药,"合成生物,钠离子电池,NMN概念,青蒿素",-1.28,3.33
219,873167,新赣江,47.98,57.89,19.54,27.66,30.3,原料药,,-3.74,3.0
220,002432,九安医疗,10.67,10.21,1.49,3.6,0.83,医疗设备,"血氧仪,天津自贸区",-2.14,5.0
221,600575,淮河能源,9.36,88.48,2.25,4.6,-3.19,火电,,-0.27,3.67
222,600578,京能电力,7.86,15.53,-2.42,-1.53,-3.01,火电,,-0.62,1.67
