,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
271,272,天基互联,BK0921,1223.23,3.37,0.28,462071632000,3.1,22,16,海能达,7.56
272,273,影视概念,BK0847,711.51,1.95,0.27,502405376000,1.65,39,23,中南传媒,7.24
273,274,债转股,BK0980,882.59,2.39,0.27,1101535792000,1.11,29,15,摩恩电气,9.97
274,275,小米汽车,BK1155,1104.2,2.99,0.27,3164086848000,1.62,43,20,德迈仕,9.09
275,276,B股,BK0636,857.46,2.29,0.27,431850128000,0.21,47,26,海立Ｂ股,4.44
276,277,职业教育,BK1022,1021.01,2.57,0.25,621461408000,3.38,41,27,广道数字,9.47
277,278,PLC概念,BK1119,1074.36,2.63,0.25,338395536000,1.06,5,4,英杰电气,2.07
278,279,碳基材料,BK1006,697.02,1.68,0.24,166858565000,1.62,13,5,沃特股份,2.04
279,280,沪股通,BK0707,1817.75,4.36,0.24,59992227840000,0.77,816,501,海通证券,10.03
280,281,啤酒概念,BK1073,930.22,2.2,0.24,236538934000,0.92,12,5,珠江啤酒,3.46
281,282,C2M概念,BK0955,917.26,2.06,0.23,262518208000,1.46,21,19,斯莱克,8.88
282,283,国家安防,BK0667,2308.81,4.65,0.2,1525449616000,2.82,67,50,天亿马,19.99
283,284,云游戏,BK0903,982.53,1.94,0.2,271427232000,2.36,17,9,ST惠程,4.21
284,285,中超概念,BK0635,1884.24,3.47,0.18,218138255000,0.69,6,2,珠江啤酒,3.46
285,286,汽车一体化压铸,BK1093,968.19,1.76,0.18,255821268000,2.55,16,12,深圳新星,10.01
286,287,工业气体,BK0981,1395.19,2.32,0.17,375230576000,1.21,14,13,创元科技,8.57
287,288,钛白粉,BK0805,975.9,1.62,0.17,145755166000,0.86,6,4,龙佰集团,2.79
288,289,超导概念,BK0679,3144.1,4.83,0.15,207436517000,2.33,9,4,超频三,2.86
289,290,深成500,BK0568,1058.38,1.47,0.14,21939424768000,1.59,307,186,中粮资本,10.01
290,291,LED,BK0580,2750.37,3.82,0.14,1237699920000,1.85,52,40,东晶电子,10.04
291,292,边缘计算,BK0860,1565.95,2.14,0.14,2382141472000,3.2,70,53,宜通世纪,9.16
292,293,电商概念,BK0665,1672.35,2.21,0.13,6373333248000,1.82,207,114,湘佳股份,9.99
293,294,智慧灯杆,BK1069,1174.63,1.51,0.13,113626983000,2.04,14,10,超讯通信,5.15
294,295,可控核聚变,BK1163,982.02,1.25,0.13,268663376000,0.72,11,7,久盛电气,2.58
295,296,成渝特区,BK0534,15677.55,19.84,0.13,2240662768000,1.4,47,36,渝农商行,4.92
296,297,在线教育,BK0662,1770.27,2.19,0.12,1376504800000,3.58,77,40,豆神教育,7.87
297,298,举牌,BK0685,1799.98,2.07,0.12,50052985000,1.54,7,2,科林电气,2.33
298,299,培育钻石,BK1023,843.93,0.93,0.11,129926504000,1.26,9,3,英诺激光,2.52
299,300,AB股,BK0498,9965.81,10.18,0.1,1366602240000,1.16,45,26,海立股份,10.03
300,301,快手概念,BK0972,1155.71,1.13,0.1,189711357000,2.75,16,14,每日互动,5.64
301,302,抗菌面料,BK1116,986.36,0.96,0.1,68242083000,1.29,11,4,玉马遮阳,3.54
302,303,DRG/DIP,BK1054,893.29,0.76,0.09,127370788000,4.0,9,8,荣科科技,7.74
303,304,中证500,BK0701,1885.56,1.46,0.08,12828573952000,1.57,288,202,中粮资本,10.01
304,305,传感器,BK0905,1322.93,1.0,0.08,1147021520000,2.28,54,36,天龙股份,9.99
305,306,退税商店,BK0933,934.99,0.56,0.06,117844752000,0.6,6,4,茂业商业,1.39
306,307,玻璃基板,BK1175,1107.81,0.59,0.05,465714384000,1.66,20,13,罗博特科,6.35
307,308,噪声防治,BK1082,1059.72,0.55,0.05,28157230000,3.2,6,2,凯伦股份,4.14
308,309,Kimi概念,BK1169,859.84,0.32,0.04,404423072000,3.24,16,9,超讯通信,5.15
309,310,新零售,BK0825,756.68,0.28,0.04,2479643552000,1.24,87,51,国芳集团,10.02
310,311,参股新三板,BK0600,2119.43,0.43,0.02,1319270688000,2.24,62,41,蒙草生态,14.07
311,312,深证100R,BK0743,1120.49,0.13,0.01,13227400960000,1.28,57,43,牧原股份,6.12
312,313,CPO概念,BK1128,2050.17,-0.38,-0.02,1301057632000,2.15,23,20,奥飞数据,7.26
313,314,免税概念,BK0927,1027.1,-0.27,-0.03,922434704000,0.77,17,12,ST凯撒,4.82
314,315,算力概念,BK1134,1115.1,-0.51,-0.05,5966468608000,2.15,71,59,瑞贝卡,10.16
315,316,网络游戏,BK0509,9213.0,-6.16,-0.07,803631280000,2.51,43,28,凤凰传媒,6.62
316,317,植物照明,BK1007,873.83,-0.69,-0.08,154064625000,2.11,10,6,瑞丰光电,3.12
317,318,无线耳机,BK0893,1547.94,-1.23,-0.08,2057027232000,2.76,49,36,德邦科技,12.05
318,319,柔性屏(折叠屏),BK1160,1172.18,-0.96,-0.08,857743472000,2.15,45,28,领益智造,8.9
319,320,PVDF概念,BK1012,743.34,-0.62,-0.08,232765903000,1.77,6,9,深圳新星,10.01
320,321,内贸流通,BK1001,1005.19,-0.88,-0.09,1319282400000,1.39,105,60,国芳集团,10.02
321,322,ETC,BK0875,1403.23,-1.27,-0.09,338896352000,2.89,25,19,通行宝,5.87
322,323,Sora概念,BK1159,1185.14,-1.13,-0.1,285503472000,2.98,21,17,宣亚国际,3.31
323,324,数据确权,BK1118,1315.48,-1.38,-0.1,266971966000,3.39,21,13,零点有数,10.14
324,325,创投,BK0506,12561.76,-14.12,-0.11,4239025456000,1.94,170,118,泰尔股份,9.92
325,326,物联网,BK0554,11528.18,-13.18,-0.11,7855531520000,2.43,207,145,华是科技,19.98
326,327,华为概念,BK0854,2741.2,-3.44,-0.13,11612681472000,2.68,379,286,天亿马,19.99
327,328,湖北自贸,BK0926,1245.9,-1.61,-0.13,312201760000,1.67,14,12,兴发集团,4.03
328,329,低价股,BK1053,736.32,-1.09,-0.15,2224800176000,1.68,163,143,瑞贝卡,10.16
329,330,地塞米松,BK0929,1181.73,-1.81,-0.15,83060849000,2.08,7,3,振东制药,2.96
330,331,无人驾驶,BK0802,1409.48,-2.21,-0.16,5210249216000,2.05,133,92,创远信科,10.66
331,332,沪企改革,BK0672,2256.52,-3.56,-0.16,871654096000,1.17,23,16,城投控股,6.44
332,333,参股保险,BK0604,2047.06,-3.55,-0.17,5633344000000,0.62,48,36,中粮资本,10.01
333,334,阿里概念,BK0689,1958.07,-3.43,-0.17,2732641648000,1.84,60,49,圆通速递,6.88
334,335,远程办公,BK0912,1186.95,-2.1,-0.18,655780992000,3.46,21,18,维海德,5.06
335,336,网红直播,BK0940,511.96,-0.98,-0.19,1358397296000,2.71,73,50,荣丰控股,10.07
336,337,在线旅游,BK0692,1392.03,-2.69,-0.19,211351050000,2.26,16,10,ST凯撒,4.82
337,338,财税数字化,BK1176,1340.7,-2.83,-0.21,438240384000,4.52,21,18,天亿马,19.99
338,339,短剧互动游戏,BK1151,955.08,-2.03,-0.21,303091216000,2.56,14,12,哈尔斯,2.69
339,340,电子纸概念,BK1057,957.22,-2.04,-0.21,333201392000,1.24,7,7,研奥股份,4.74
340,341,注册制次新股,BK0971,666.35,-1.44,-0.22,626822016000,7.1,50,36,合合信息,15.36
341,342,股权转让,BK0803,536.29,-1.22,-0.23,150929283000,1.85,20,16,睿智医药,13.34
342,343,预亏预减,BK0570,1576.1,-3.82,-0.24,5275645184000,2.15,290,273,泰尔股份,9.92
343,344,增强现实,BK0801,890.37,-2.18,-0.24,525971680000,2.81,25,22,领益智造,8.9
344,345,生物识别,BK0970,1236.8,-3.04,-0.25,975530672000,3.16,28,22,国民技术,19.8
345,346,纳米银,BK0855,1435.63,-3.73,-0.26,88367203000,3.24,7,3,英唐智控,2.74
346,347,华为昇腾,BK0995,1199.62,-3.13,-0.26,299657728000,9.31,12,12,常山北明,10.03
347,348,东北振兴,BK0838,948.63,-2.51,-0.26,629306736000,1.52,34,24,大金重工,5.81
348,349,车联网(车路云),BK0920,1185.56,-3.14,-0.26,5309639936000,2.44,123,89,常山北明,10.03
349,350,AIPC,BK1164,1228.31,-3.32,-0.27,784219696000,2.73,23,16,领益智造,8.9
350,351,大数据,BK0634,3891.26,-11.09,-0.28,4639863040000,3.03,165,138,天亿马,19.99
351,352,人工智能,BK0800,1232.56,-3.58,-0.29,8132175104000,3.02,302,245,天亿马,19.99
352,353,次新股,BK0501,25946.96,-78.76,-0.3,644927104000,7.24,52,40,合合信息,15.36
353,354,独角兽,BK0835,1432.82,-4.38,-0.3,5142327040000,2.14,70,54,ST峡创,7.23
354,355,F5G概念,BK1088,1743.46,-5.41,-0.31,563244352000,0.86,11,11,金信诺,4.2
355,356,光通信模块,BK1136,1072.76,-3.39,-0.32,815718736000,2.33,29,25,奥飞数据,7.26
356,357,富士康,BK0842,1416.78,-4.59,-0.32,355902272000,1.83,17,14,春秋电子,5.31
357,358,智慧政务,BK0886,1080.43,-3.52,-0.32,538913200000,5.34,39,38,天亿马,19.99
358,359,AIGC概念,BK1111,1440.89,-4.83,-0.33,1525874528000,3.65,53,40,东方国信,9.09
359,360,胎压监测,BK0898,1810.59,-6.28,-0.35,303341296000,2.69,16,11,天龙股份,9.99
360,361,元宇宙概念,BK1009,1614.37,-5.61,-0.35,4156577600000,3.12,82,58,东方国信,9.09
361,362,WiFi,BK0915,988.45,-3.66,-0.37,511671920000,1.35,14,13,创远信科,10.66
362,363,虚拟现实,BK0722,867.33,-3.35,-0.38,3015412496000,2.47,128,95,天亿马,19.99
363,364,3D玻璃,BK0881,953.69,-3.71,-0.39,251129783000,2.81,7,11,奥瑞德,10.26
364,365,AI眼镜,BK1178,1292.05,-5.17,-0.4,863248432000,2.25,37,28,可川科技,6.18
365,366,NFT概念,BK0997,1214.65,-4.89,-0.4,431891024000,3.45,31,25,常山北明,10.03
366,367,ST股,BK0511,4279.26,-18.8,-0.44,298053792000,1.38,49,68,*ST景峰,5.0
367,368,参股券商,BK0514,11960.44,-54.74,-0.46,4195992752000,1.34,65,67,国芳集团,10.02
368,369,小米概念,BK0833,1489.89,-7.03,-0.47,2617051392000,1.99,113,85,领益智造,8.9
369,370,社区团购,BK0965,688.09,-3.25,-0.47,528282288000,1.31,22,16,国联水产,6.09
370,371,进口博览,BK0850,833.92,-3.95,-0.47,224249547000,0.89,7,9,中远海科,4.47
371,372,智能穿戴,BK0641,2432.19,-11.77,-0.48,2338917792000,2.5,57,53,领益智造,8.9
372,373,手游概念,BK0642,928.18,-4.58,-0.49,683121728000,2.34,27,23,凤凰传媒,6.62
373,374,科创板做市股,BK1108,838.25,-4.45,-0.53,1694428944000,1.44,22,20,金山办公,4.72
374,375,云计算,BK0579,2386.3,-12.94,-0.54,7571767040000,3.27,120,110,海量数据,9.99
375,376,REITs概念,BK0992,719.64,-3.91,-0.54,869852464000,1.47,11,13,中国铁建,4.13
376,377,虚拟数字人,BK1055,955.23,-5.2,-0.54,3173971584000,2.84,44,36,东方国信,9.09
377,378,屏下摄像,BK0947,802.76,-4.39,-0.54,486191824000,1.31,5,5,联合光电,2.23
378,379,通用航空,BK0625,4647.01,-25.9,-0.55,1001338272000,1.3,22,18,天和防务,7.19
379,380,北斗导航,BK0629,4656.63,-25.99,-0.56,821072112000,2.91,36,39,纵横股份,10.77
380,381,人脑工程,BK0706,3122.01,-17.5,-0.56,301184304000,2.2,12,7,爱朋医疗,4.49
381,382,光刻机(胶),BK0884,2310.59,-13.05,-0.56,720063216000,3.95,31,48,海立股份,10.03
382,383,复合集流体,BK1113,658.41,-3.73,-0.56,158699214000,1.66,12,12,可川科技,6.18
383,384,上海自贸,BK0643,2568.55,-14.59,-0.56,909898352000,0.91,15,18,海立股份,10.03
384,385,全息技术,BK0699,1777.49,-10.13,-0.57,123178017000,1.85,5,6,*ST银江,2.99
385,386,网络安全,BK0655,3608.11,-21.44,-0.59,4540839936000,3.95,65,68,天亿马,19.99
386,387,3D摄像头,BK0901,1239.23,-7.5,-0.6,578947920000,2.29,6,5,立讯精密,4.56
387,388,超清视频,BK0859,1540.61,-9.43,-0.61,2281492288000,1.87,51,49,领益智造,8.9
388,389,白酒,BK0896,2027.6,-12.64,-0.62,3873516224000,1.06,26,21,巨力索具,3.3
389,390,区块链,BK0830,857.72,-5.41,-0.63,7715677952000,1.67,122,111,天亿马,19.99
390,391,ERP概念,BK1133,937.99,-5.99,-0.63,218824815000,2.33,8,9,莱斯信息,3.84
391,392,机器视觉,BK0998,1210.0,-7.9,-0.65,365322784000,2.98,32,31,科创信息,6.21
392,393,电子车牌,BK0982,1173.18,-8.14,-0.69,159221737000,4.52,11,7,*ST银江,2.99
393,394,昨日连板_含一字,BK1051,232.62,-1.69,-0.72,494698496000,1.05,14,19,中粮资本,10.01
394,395,多模态AI,BK1153,903.36,-6.62,-0.73,636393392000,2.99,17,20,泓博医药,18.26
395,396,蓝宝石,BK0674,2360.66,-17.76,-0.75,514117408000,1.88,8,11,奥瑞德,10.26
396,397,荣耀概念,BK1177,1337.49,-10.2,-0.76,877397728000,1.77,28,22,慧博云通,6.7
397,398,OLED,BK0840,2185.72,-17.3,-0.79,1919344272000,2.1,62,66,珂玛科技,7.93
398,399,IPv6,BK0897,1109.03,-8.84,-0.79,530162624000,1.51,5,7,中国联通,5.61
399,400,碳化硅,BK0977,1149.3,-9.41,-0.81,538807328000,2.39,16,18,奥瑞德,10.26
400,401,创业成份,BK0638,1729.88,-14.61,-0.84,5995654144000,3.01,51,49,中航电测,7.19
401,402,租售同权,BK0822,724.23,-6.25,-0.86,467895056000,2.33,8,9,三六五网,2.41
402,403,数字哨兵,BK1084,1397.55,-12.46,-0.88,85248337000,3.83,5,6,德生科技,3.68
403,404,数据安全,BK1047,793.03,-7.08,-0.88,761711856000,2.2,36,39,每日互动,5.64
404,405,百度概念,BK0845,1293.24,-12.06,-0.92,2171902048000,3.48,68,71,常山北明,10.03
405,406,英伟达概念,BK1161,1129.08,-10.82,-0.95,688582768000,3.28,18,25,电连技术,3.44
406,407,宁组合,BK1000,548.76,-5.29,-0.95,4278004816000,1.66,12,12,韦尔股份,3.33
407,408,电子后视镜,BK1125,1258.5,-12.18,-0.96,298872288000,2.56,8,12,兴民智通,5.45
408,409,AI手机,BK1162,1166.73,-11.48,-0.97,701689568000,2.92,17,14,领益智造,8.9
409,410,字节概念,BK0923,1004.48,-10.26,-1.01,567011456000,2.99,32,36,每日互动,5.64
410,411,第三代半导体,BK0952,1167.46,-11.94,-1.01,1565682368000,2.63,46,58,连城数控,5.86
411,412,昨日连板,BK0816,57938.5,-602.16,-1.03,162775894000,0.4,9,11,中粮资本,10.01
412,413,万达概念,BK0831,878.67,-9.14,-1.03,528044848000,1.03,6,9,中国中铁,3.37
413,414,数字经济,BK1061,976.54,-10.42,-1.06,1406744000000,3.48,74,80,东方国信,9.09
414,415,氮化镓,BK0916,1082.23,-11.86,-1.08,880970624000,2.72,20,27,星徽股份,3.33
415,416,百元股,BK1059,622.07,-7.07,-1.12,11591724032000,1.26,31,38,合合信息,15.36
416,417,Web3.0,BK1110,1319.18,-15.24,-1.14,393565056000,4.14,21,26,东方国信,9.09
417,418,彩票概念,BK0671,1879.3,-22.1,-1.16,289235376000,1.93,12,10,天音控股,3.7
418,419,VPN,BK0885,937.19,-11.08,-1.17,260855128000,3.44,8,12,山石网科,2.98
419,420,移动支付,BK0556,9784.3,-116.5,-1.18,3325849104000,2.59,33,37,国民技术,19.8
420,421,电子身份证,BK1075,1057.36,-12.63,-1.18,299401360000,4.2,15,19,东方国信,9.09
421,422,国产芯片,BK0891,2585.04,-30.89,-1.18,8804316416000,2.55,146,203,红相股份,20.0
422,423,RCS概念,BK0919,1111.27,-13.42,-1.19,171348327000,2.77,10,13,佳讯飞鸿,2.42
423,424,半导体概念,BK0917,1385.9,-17.34,-1.24,6893253120000,2.36,125,176,国民技术,19.8
424,425,星闪概念,BK1149,1106.5,-15.05,-1.34,444643168000,5.2,13,20,海能达,7.56
425,426,国产软件,BK0696,2650.73,-37.53,-1.4,2743256400000,4.91,99,130,天亿马,19.99
426,427,商汤概念,BK0942,919.38,-13.64,-1.46,373132288000,2.03,6,8,飞利信,4.82
427,428,MLOps概念,BK1132,956.1,-14.49,-1.49,188240781000,5.64,5,5,东方国信,9.09
428,429,互联金融,BK0637,4201.06,-64.94,-1.52,18466025984000,0.97,84,118,海通证券,10.03
429,430,IGBT概念,BK1048,739.96,-11.8,-1.57,2050480704000,1.78,12,25,天龙股份,9.99
430,431,信创,BK1104,1399.51,-22.54,-1.59,2991693696000,4.97,93,135,华是科技,19.98
431,432,参股期货,BK0524,26898.32,-444.26,-1.62,3135918528000,2.37,12,33,中粮资本,10.01
432,433,Chiplet概念,BK1101,1265.88,-21.99,-1.71,482718176000,3.17,8,15,华海诚科,3.9
433,434,ChatGPT概念,BK1126,1481.74,-27.5,-1.82,1878518448000,3.7,32,41,东方国信,9.09
434,435,UWB概念,BK0880,1363.12,-25.91,-1.87,366309536000,1.92,9,10,硕贝德,4.74
435,436,托育服务,BK1074,604.03,-11.84,-1.92,72593814000,3.18,8,5,长江传媒,4.68
436,437,赛马概念,BK0709,549.39,-11.01,-1.96,15854606000,1.6,1,3,中体产业,0.51
437,438,第四代半导体,BK1121,1430.71,-29.56,-2.02,116083848000,1.97,0,4,中国西电,-0.73
438,439,跨境支付,BK1071,1327.78,-27.82,-2.05,10662078208000,0.37,18,30,交通银行,4.26
439,440,华为海思,BK1180,1225.85,-26.6,-2.12,670738528000,5.11,12,25,慧博云通,6.7
440,441,EDA概念,BK0946,1029.01,-22.86,-2.17,224321542000,2.57,5,9,东土科技,4.2
441,442,科创板做市商,BK1107,1491.19,-33.29,-2.18,1859782800000,1.74,2,12,国泰君安,10.0
442,443,汽车芯片,BK0969,981.57,-22.14,-2.21,907505168000,3.21,13,34,雅创电子,6.01
443,444,存储芯片,BK1137,1139.16,-25.95,-2.23,878424224000,3.79,15,35,精智达,7.12
444,445,数字货币,BK0883,1487.77,-41.33,-2.7,769326448000,5.1,23,51,国民技术,19.8
445,446,AI芯片,BK1127,992.05,-29.83,-2.92,990840288000,2.29,7,17,铂科新材,2.96
446,447,中芯概念,BK0935,1127.09,-35.3,-3.04,2091001264000,2.73,12,47,兴发集团,4.03
447,448,券商概念,BK0711,1114.34,-34.95,-3.04,4044002368000,3.58,5,52,海通证券,10.03
448,449,鸿蒙概念,BK0953,1244.15,-39.21,-3.06,1782212704000,6.6,28,50,常山北明,10.03
449,450,华为欧拉,BK1013,1352.41,-71.61,-5.03,265827240000,12.6,2,13,麒麟信安,3.57
450,451,昨日触板,BK0817,517.35,-33.31,-6.05,1682337216000,0.14,9,47,奥瑞德,10.26
